week_start	README.txt	dataset_description.json	participants.tsv	samples.tsv	sub-DN220323/micr/sub-DN220323_sample-A1injectionsite_BF.json	sub-DN220323/micr/sub-DN220323_sample-A1injectionsite_BF.tif	sub-DN220324/micr/sub-DN220324_sample-A2injectionsite_BF.tif	sub-HK190801/micr/sub-HK190801_sample-A2injectionsite_BF.tif	sub-HK190801/micr/sub-HK190801_sample-section11A2_acq-10x_stain-DAPIandAlexa488_FLUO.tif	sub-HK190804/micr/sub-HK190804_sample-A2injectionsite_BF.tif	sub-HK190804/micr/sub-HK190804_sample-section12A2_acq-10x_stain-DAPIandAlexa488_FLUO.tif	sub-HK190804B/micr/sub-HK190804B_sample-A1injectionsite_BF.tif	sub-HK190804B/micr/sub-HK190804B_sample-section8A1_acq-10x_stain-DAPIandAlexa488_FLUO.tif	sub-HK190914/micr/sub-HK190914_sample-A2injectionsite_BF.tif	sub-HK190917B/micr/sub-HK190917B_sample-A1injectionsite_BF.tif	sub-HK191004/micr/sub-HK191004_sample-A2injectionsite_BF.tif	sub-HK191006/micr/sub-HK191006_sample-A2injectionsite_BF.tif	sub-HK191006B/micr/sub-HK191006B_sample-A1injectionsite_BF.tif	sub-HK191007/micr/sub-HK191007_sample-A1injectionsite_BF.tif	sub-HK210603/micr/sub-HK210603_sample-A2injectionsite_BF.tif	sub-HK210604/micr/sub-HK210604_sample-A1injectionsite_BF.tif	sub-HK210610/micr/sub-HK210610_sample-A2injectionsite_BF.tif	sub-HK210611/micr/sub-HK210611_sample-A1injectionsite_BF.tif	sub-KO220210/micr/sub-KO220210_sample-A2injectionsite_BF.tif	sub-MG220818/micr/sub-MG220818_sample-A1injectionsite_BF.tif	sub-MG220818/micr/sub-MG220818_sample-slide1section10MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide1section11MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide1section12MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide1section7MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide1section8MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide1section9MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide2section1MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide2section2A1_acq-10x_stain-DAPIandAlexa488_FLUO.tif	sub-MG220818/micr/sub-MG220818_sample-slide2section2MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018/micr/sub-MG221018_sample-A2injectionsite_BF.tif	sub-MG221018B/micr/sub-MG221018B_sample-A1injectionsite_BF.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section1A1_acq-10x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section1MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section2MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section3MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section4MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section5MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section6MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section7MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif	sub-MG221018B/micr/sub-MG221018B_sample-slide3section8MGN_acq-20x_stain-DAPIandAlexa488_FLUO.tif
2025-12-29	250	84	614	5837	8325	288742	961072	288742	27601088	288742	27621840	288742	27612532	288742	288742	577484	288742	288742	288742	288742	288742	288742	288742	199603	577360	49672634	31015629	37194955	25864167	43374263	24836321	36166751	421852624	57789287	288680	577360	9372809	43374255	49553571	49553571	43374255	43374255	20713383	41426766	41426758
2026-01-05	0	0	0	5837	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31015629	0	0	0	24836321	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	1500	252	1842	17511	999	866226	1441608	866226	0	866226	0	866226	0	866226	866226	866226	866226	866226	866226	866226	866226	866226	866226	598809	866040	74508951	0	0	0	0	0	0	632778936	0	866040	866040	0	0	135791622	0	0	0	0	0	62140137
2026-01-19	0	84	0	0	0	0	0	0	0	0	27621840	0	0	288742	0	0	288742	0	0	0	0	0	288742	0	0	0	0	0	77592501	0	0	0	0	0	0	0	0	0	49553571	0	0	0	0	62140149	0
2026-01-26	0	0	614	0	0	288742	0	288742	27601088	0	0	0	27612532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37194955	0	43374263	0	36166751	0	57789287	288680	0	0	43374255	0	0	0	43374255	20713383	0	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9372809	0	0	49553571	43374255	0	0	0	0
2026-02-09	250	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	500	0	0	0	0	0	0	0	0	577484	0	577484	0	0	577484	577484	0	577484	577484	577484	577484	577484	0	399206	577360	22534752	12184488	0	16573524	0	18800796	0	15394380	0	0	577360	0	0	13953204	0	0	0	0	17752668	22141704
2026-03-23	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	250	84	614	5837	666	0	0	0	0	577484	0	0	0	0	0	0	0	0	0	0	0	0	0	199603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	250	337	1228	17511	1665	0	0	0	0	0	110487360	0	0	0	866226	0	0	0	0	0	0	288742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	500	422	1228	11674	2997	0	0	0	0	288742	0	0	0	0	288742	0	0	0	0	0	0	0	0	199603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	750	0	0	0	2997	0	0	0	0	577484	0	577484	0	0	577484	577484	0	577484	577484	577484	577484	1154968	0	598809	0	26661756	20110956	0	33671112	0	33081540	0	29609616	0	0	577360	0	0	0	0	0	0	0	17687160	24958548
2026-04-27	0	0	0	0	0	0	0	0	0	0	82865520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	0	0	614	0	0	0	0	288742	27601088	0	0	0	0	0	0	0	0	0	0	0	0	0	288742	0	0	0	0	0	0	0	0	36166751	0	0	0	0	0	0	0	0	0	43374255	0	0	0
2026-05-18	750	0	0	0	2331	0	480536	0	0	288742	0	866226	0	0	866226	577484	0	866226	866226	577484	866226	866226	0	399206	866040	17883684	49292361	20635020	35100795	0	39641129	40490279	6550800	48737952	0	577360	0	0	4323528	0	0	0	0	11594916	22272720
2026-05-25	0	0	0	0	1332	288742	961072	0	0	0	0	577484	10284756	0	0	0	0	0	0	0	0	0	0	0	288680	27522145	62031258	1375668	25864167	45536027	1048128	1703208	9629676	58706399	0	0	0	0	0	0	0	0	0	0	0
2026-06-01	500	0	1228	5837	333	0	0	0	0	0	0	288742	0	0	0	0	0	288742	0	0	0	0	0	0	0	0	0	0	4585560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-08	750	0	1228	5837	2997	0	0	0	0	866226	21552132	0	0	0	288742	0	0	288742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-15	250	0	614	0	666	0	0	0	0	0	0	288742	0	0	866226	0	0	0	0	0	0	0	1443710	0	0	0	31015629	0	0	0	0	0	0	57789287	0	0	0	0	0	0	0	0	0	0	0
2026-06-22	500	0	0	0	0	0	0	0	0	288742	0	577484	0	0	866226	577484	0	288742	577484	577484	577484	577484	0	399206	0	3340908	3013368	0	2554812	43374263	3144384	0	2685828	0	0	577360	0	0	0	0	0	0	0	2816844	2489304
2026-06-29	250	0	614	0	0	0	0	0	0	0	0	288742	0	0	288742	0	0	288742	288742	0	288742	288742	0	0	288680	0	0	0	25864167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-06	500	0	0	0	333	0	0	0	0	288742	0	577484	27612532	0	577484	288742	0	577484	577484	577484	577484	577484	0	399206	0	2685828	8843580	0	3209892	0	9105612	47368619	1310160	0	0	577360	0	0	0	0	0	0	0	2620320	1244652
2026-07-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24836317	0	0	0	0	0	36166751	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37194955	25864167	7009356	0	36166751	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-08-03	500	168	1842	11674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
